,id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
338,456,30,F,6118,Divorcé(e),Commercial,Cadre Commercial,1,80,10,10,9,4,2,2,3,3,3,3,Non,13 %,Non,3,2,1,5,3,Marketing,Y,Occasionnel,1,2
339,458,27,F,6214,Marié(e),Commercial,Cadre Commercial,1,80,8,8,7,2,3,2,2,1,3,3,Non,18 %,Non,1,3,1,8,4,Marketing,Y,Occasionnel,0,7
340,460,37,M,6347,Divorcé(e),Consulting,Tech Lead,7,80,8,6,2,4,3,2,4,3,2,3,Non,16 %,Non,2,2,1,5,2,Transformation Digitale,Y,Occasionnel,0,4
341,461,38,M,11510,Divorcé(e),Consulting,Directeur Technique,0,80,12,11,10,3,2,3,4,2,3,3,Oui,14 %,Non,1,3,1,15,2,Infra & Cloud,Y,Occasionnel,2,9
342,462,31,F,7143,Célibataire,Consulting,Tech Lead,1,80,11,11,9,3,3,3,4,3,2,3,Oui,14 %,Non,0,2,1,7,4,Transformation Digitale,Y,Occasionnel,4,10
343,463,29,F,8268,Divorcé(e),Commercial,Cadre Commercial,1,80,7,7,7,4,2,2,2,1,3,3,Oui,14 %,Non,2,2,1,10,1,Marketing,Y,Occasionnel,1,7
344,464,35,M,8095,Célibataire,Consulting,Tech Lead,0,80,17,16,6,3,3,3,2,4,3,3,Non,13 %,Non,0,5,1,5,4,Entrepreunariat,Y,Occasionnel,0,13
345,465,23,M,2904,Divorcé(e),Consulting,Assistant de Direction,1,80,4,4,2,3,3,1,4,3,2,3,Non,12 %,Non,2,2,1,26,1,Infra & Cloud,Y,Occasionnel,0,2
346,466,41,M,6032,Célibataire,Consulting,Tech Lead,6,80,8,5,4,4,2,2,2,4,3,3,Oui,15 %,Non,0,3,1,6,3,Transformation Digitale,Y,Occasionnel,1,2
347,467,47,M,2976,Célibataire,Commercial,Représentant Commercial,3,80,5,0,0,2,3,2,3,1,3,3,Non,19 %,Non,0,3,1,4,1,Transformation Digitale,Y,Frequent,0,0
348,468,42,F,15992,Célibataire,Consulting,Directeur Technique,2,80,16,1,0,1,3,4,4,2,3,3,Non,14 %,Non,0,2,1,23,5,Infra & Cloud,Y,Occasionnel,0,0
349,469,29,M,4649,Marié(e),Commercial,Cadre Commercial,1,80,4,4,3,4,3,2,3,1,2,3,Non,14 %,Non,1,3,1,2,3,Infra & Cloud,Y,Aucun,0,2
350,470,42,M,2696,Divorcé(e),Ressources Humaines,Ressources Humaines,0,80,4,3,2,3,3,1,3,3,3,3,Oui,11 %,Non,1,5,1,2,1,Entrepreunariat,Y,Occasionnel,1,0
351,471,32,F,2370,Marié(e),Consulting,Consultant,1,80,8,8,0,3,3,1,2,3,3,3,Non,13 %,Non,1,4,1,2,3,Transformation Digitale,Y,Occasionnel,0,7
352,473,48,F,12504,Marié(e),Commercial,Senior Manager,3,80,15,0,0,1,3,3,3,2,1,4,Non,21 %,Non,1,3,1,29,1,Transformation Digitale,Y,Occasionnel,0,0
353,474,37,M,5974,Divorcé(e),Consulting,Assistant de Direction,4,80,13,7,7,3,4,2,1,1,3,3,Oui,13 %,Non,2,2,1,6,3,Transformation Digitale,Y,Occasionnel,6,7
354,475,30,F,4736,Marié(e),Commercial,Cadre Commercial,7,80,4,2,2,4,3,2,3,2,4,3,Oui,12 %,Non,1,2,1,25,2,Entrepreunariat,Y,Aucun,2,2
355,476,26,M,5296,Marié(e),Commercial,Cadre Commercial,1,80,8,8,7,3,3,2,3,2,3,3,Non,17 %,Non,1,3,1,1,3,Infra & Cloud,Y,Occasionnel,7,7
356,477,42,M,6781,Célibataire,Consulting,Manager,3,80,14,1,0,1,2,2,4,2,3,4,Non,23 %,Non,0,6,1,2,4,Autre,Y,Occasionnel,0,0
357,478,21,F,2174,Célibataire,Commercial,Représentant Commercial,1,80,3,3,2,1,2,1,2,3,3,3,Oui,11 %,Oui,0,3,1,1,1,Entrepreunariat,Y,Frequent,1,2
358,479,36,F,6653,Célibataire,Commercial,Cadre Commercial,4,80,7,1,0,4,3,2,4,2,3,3,Non,15 %,Non,0,6,1,1,5,Transformation Digitale,Y,Aucun,0,0
359,481,36,M,9699,Marié(e),Commercial,Cadre Commercial,4,80,16,13,9,1,2,3,4,1,3,3,Non,11 %,Non,1,2,1,3,4,Transformation Digitale,Y,Frequent,1,12
360,482,57,M,6755,Marié(e),Consulting,Manager,2,80,15,3,2,4,3,2,3,3,3,3,Non,11 %,Non,0,2,1,1,4,Transformation Digitale,Y,Occasionnel,1,2
361,483,40,F,2213,Marié(e),Consulting,Consultant,3,80,10,7,7,4,4,1,3,3,3,3,Oui,13 %,Non,1,3,1,10,4,Infra & Cloud,Y,Occasionnel,1,7
362,484,21,M,2610,Célibataire,Commercial,Représentant Commercial,1,80,3,3,2,1,3,1,4,3,2,4,Non,24 %,Non,0,3,1,9,2,Transformation Digitale,Y,Aucun,2,2
363,485,33,F,2851,Célibataire,Commercial,Représentant Commercial,1,80,1,1,0,4,3,1,3,2,3,3,Oui,13 %,Oui,0,2,1,5,3,Marketing,Y,Occasionnel,0,0
364,486,37,F,3452,Marié(e),Consulting,Consultant,6,80,17,5,4,3,3,1,1,2,3,4,Non,20 %,Non,1,3,1,10,3,Transformation Digitale,Y,Occasionnel,0,3
365,487,46,F,5258,Marié(e),Consulting,Tech Lead,2,80,7,1,0,3,3,2,3,3,4,3,Non,14 %,Non,0,2,1,7,4,Transformation Digitale,Y,Aucun,0,0
366,488,41,M,9355,Célibataire,Commercial,Cadre Commercial,1,80,8,8,7,1,3,2,2,3,3,3,Non,18 %,Oui,0,5,1,4,3,Marketing,Y,Frequent,7,7
367,491,50,M,10496,Célibataire,Consulting,Manager,6,80,20,4,3,4,2,3,4,4,3,3,Non,15 %,Non,0,2,1,10,3,Entrepreunariat,Y,Occasionnel,1,3
368,492,40,M,6380,Marié(e),Commercial,Cadre Commercial,2,80,8,6,4,3,2,2,3,1,3,3,Oui,12 %,Oui,2,6,1,22,2,Marketing,Y,Occasionnel,1,0
369,493,31,M,2657,Célibataire,Consulting,Assistant de Direction,0,80,3,2,2,3,2,1,2,4,3,3,Oui,16 %,Non,0,5,1,9,4,Infra & Cloud,Y,Occasionnel,2,2
370,494,21,F,2716,Célibataire,Commercial,Représentant Commercial,1,80,1,1,0,3,4,1,2,4,3,3,Non,15 %,Oui,0,0,1,12,3,Infra & Cloud,Y,Occasionnel,0,0
371,495,29,M,2201,Célibataire,Consulting,Assistant de Direction,9,80,6,3,2,4,3,1,4,4,3,3,Non,16 %,Non,0,4,1,23,3,Infra & Cloud,Y,Occasionnel,1,2
372,496,35,M,6540,Célibataire,Consulting,Manager,9,80,10,1,1,3,2,2,2,3,3,3,Non,19 %,Non,0,5,1,9,4,Infra & Cloud,Y,Occasionnel,0,0
373,497,27,M,3816,Divorcé(e),Consulting,Consultant,1,80,5,5,2,4,3,1,2,2,3,3,Non,11 %,Non,1,2,1,1,2,Transformation Digitale,Y,Occasionnel,0,4
374,498,28,M,5253,Célibataire,Commercial,Cadre Commercial,1,80,7,7,5,2,3,2,4,4,3,3,Non,16 %,Non,0,1,1,9,4,Infra & Cloud,Y,Occasionnel,0,7
375,499,49,M,10965,Célibataire,Consulting,Manager,8,80,26,5,2,2,2,3,3,3,3,4,Non,24 %,Non,0,2,1,7,3,Autre,Y,Occasionnel,0,0
376,500,51,F,4936,Marié(e),Commercial,Cadre Commercial,4,80,18,7,7,3,3,2,4,3,2,3,Non,11 %,Non,1,2,1,14,2,Infra & Cloud,Y,Occasionnel,0,7
377,501,36,F,2543,Marié(e),Consulting,Assistant de Direction,4,80,6,2,2,4,3,1,3,2,3,3,Non,13 %,Non,1,3,1,2,3,Infra & Cloud,Y,Occasionnel,2,2
378,502,34,M,5304,Célibataire,Commercial,Cadre Commercial,8,80,9,5,2,1,4,2,4,2,2,3,Oui,13 %,Oui,0,3,1,19,3,Marketing,Y,Aucun,0,4
379,505,55,F,16659,Célibataire,Consulting,Senior Manager,2,80,30,5,4,3,3,4,4,3,3,3,Oui,13 %,Non,0,2,1,2,3,Infra & Cloud,Y,Occasionnel,1,2
380,507,24,F,4260,Divorcé(e),Commercial,Cadre Commercial,1,80,5,5,2,4,3,2,3,4,4,3,Oui,12 %,Non,1,2,1,10,4,Marketing,Y,Occasionnel,0,3
381,508,30,M,2476,Marié(e),Commercial,Représentant Commercial,1,80,1,1,0,3,3,1,2,1,3,3,Non,18 %,Non,1,3,1,2,1,Entrepreunariat,Y,Occasionnel,0,0
382,510,26,M,3102,Célibataire,Consulting,Assistant de Direction,0,80,7,6,4,3,3,1,1,3,3,4,Non,22 %,Oui,0,2,1,3,1,Entrepreunariat,Y,Frequent,0,4
383,511,22,F,2244,Marié(e),Consulting,Assistant de Direction,1,80,2,2,1,1,3,1,2,4,3,3,Non,13 %,Non,1,1,1,11,3,Transformation Digitale,Y,Occasionnel,1,2
384,513,36,M,7596,Marié(e),Commercial,Cadre Commercial,1,80,10,10,9,2,2,3,3,2,3,3,Non,13 %,Non,2,2,1,2,2,Transformation Digitale,Y,Occasionnel,9,0
385,514,30,M,2285,Célibataire,Consulting,Assistant de Direction,9,80,3,1,0,3,3,1,4,3,3,4,Oui,23 %,Oui,0,4,1,4,3,Entrepreunariat,Y,Frequent,0,0
386,515,37,F,3034,Divorcé(e),Consulting,Consultant,1,80,18,18,7,4,3,1,1,3,2,3,Non,12 %,Non,1,2,1,14,3,Infra & Cloud,Y,Occasionnel,12,17
387,516,40,F,5715,Divorcé(e),Commercial,Cadre Commercial,7,80,8,5,4,4,3,2,2,3,3,3,Non,12 %,Non,2,5,1,2,2,Marketing,Y,Occasionnel,1,3
388,517,42,F,2576,Divorcé(e),Consulting,Consultant,3,80,8,5,2,2,3,1,1,2,3,3,Non,16 %,Non,1,5,1,1,4,Infra & Cloud,Y,Occasionnel,1,2
389,518,37,M,4197,Célibataire,Consulting,Tech Lead,2,80,18,1,0,3,3,2,2,4,2,3,Oui,12 %,Non,0,2,1,10,4,Infra & Cloud,Y,Occasionnel,0,1
390,520,43,M,14336,Divorcé(e),Consulting,Directeur Technique,1,80,25,25,10,1,2,4,2,3,3,3,Non,11 %,Non,1,3,1,12,3,Infra & Cloud,Y,Occasionnel,3,9
391,521,40,F,3448,Marié(e),Consulting,Consultant,6,80,20,1,0,2,2,2,3,2,3,4,Non,22 %,Non,1,3,1,2,3,Transformation Digitale,Y,Occasionnel,0,0
392,522,54,M,19406,Marié(e),Consulting,Directeur Technique,4,80,24,4,2,1,3,5,1,3,2,3,Non,11 %,Non,1,4,1,5,2,Transformation Digitale,Y,Occasionnel,1,2
393,523,34,F,6538,Marié(e),Commercial,Cadre Commercial,9,80,6,3,2,3,3,2,3,1,3,3,Non,15 %,Non,1,3,1,4,4,Marketing,Y,Aucun,1,2
394,524,31,F,4306,Marié(e),Consulting,Tech Lead,1,80,13,13,10,2,3,2,1,2,1,3,Non,12 %,Non,1,5,1,7,2,Transformation Digitale,Y,Occasionnel,3,12
395,525,43,M,2258,Marié(e),Consulting,Consultant,7,80,8,3,2,4,3,1,4,1,3,4,Non,20 %,Non,1,1,1,21,3,Transformation Digitale,Y,Frequent,1,2
396,526,43,F,4522,Divorcé(e),Consulting,Manager,4,80,8,5,2,3,3,2,3,4,3,3,Oui,14 %,Non,0,3,1,8,4,Autre,Y,Occasionnel,0,2
397,527,25,F,4487,Célibataire,Commercial,Cadre Commercial,1,80,5,5,4,2,2,2,4,2,3,3,Oui,11 %,Non,0,3,1,4,2,Infra & Cloud,Y,Occasionnel,1,3
398,529,37,F,4449,Marié(e),Consulting,Assistant de Direction,3,80,15,13,11,2,3,2,3,1,3,3,Oui,15 %,Non,2,2,1,25,5,Transformation Digitale,Y,Aucun,10,7
399,530,31,M,2218,Marié(e),Consulting,Consultant,1,80,4,4,2,4,2,1,1,3,3,3,Non,12 %,Non,1,3,1,1,2,Infra & Cloud,Y,Occasionnel,3,2
400,531,39,M,19197,Divorcé(e),Consulting,Senior Manager,1,80,21,21,8,2,3,5,3,3,3,3,Oui,14 %,Non,1,3,1,1,1,Infra & Cloud,Y,Frequent,1,6
401,532,56,F,13212,Marié(e),Commercial,Cadre Commercial,9,80,36,7,7,3,4,4,1,4,2,3,Non,11 %,Non,3,0,1,6,3,Infra & Cloud,Y,Frequent,7,7
402,533,30,F,6577,Célibataire,Commercial,Cadre Commercial,0,80,6,5,4,2,3,2,3,2,3,3,Non,11 %,Non,0,6,1,12,3,Entrepreunariat,Y,Occasionnel,4,4
403,534,41,M,8392,Marié(e),Commercial,Cadre Commercial,1,80,10,10,7,2,4,3,1,3,3,3,Non,16 %,Non,1,2,1,1,3,Marketing,Y,Occasionnel,0,7
404,536,28,M,4558,Divorcé(e),Consulting,Consultant,1,80,10,10,0,3,3,2,1,4,3,3,Non,12 %,Non,1,2,1,17,2,Transformation Digitale,Y,Occasionnel,1,8
405,538,25,M,4031,Marié(e),Consulting,Consultant,5,80,6,2,2,1,3,1,1,3,3,3,Non,13 %,Oui,1,5,1,3,3,Transformation Digitale,Y,Occasionnel,0,2
406,543,52,M,7969,Marié(e),Consulting,Tech Lead,2,80,28,5,4,4,2,3,3,3,3,3,Oui,14 %,Non,0,4,1,3,3,Transformation Digitale,Y,Occasionnel,0,4
407,544,45,M,2654,Marié(e),Consulting,Assistant de Direction,3,80,8,2,2,1,3,1,4,4,2,4,Non,21 %,Non,2,3,1,10,2,Infra & Cloud,Y,Occasionnel,0,2
408,546,52,F,16555,Marié(e),Consulting,Senior Manager,2,80,31,5,2,4,3,4,4,4,1,3,Non,13 %,Non,0,2,1,4,2,Infra & Cloud,Y,Occasionnel,1,4
409,547,42,F,4556,Divorcé(e),Consulting,Assistant de Direction,2,80,19,5,4,1,3,2,3,2,3,3,Non,11 %,Non,1,3,1,29,2,Infra & Cloud,Y,Frequent,0,2
410,548,30,F,6091,Célibataire,Consulting,Tech Lead,2,80,11,5,4,3,1,2,4,3,3,4,Non,20 %,Non,0,2,1,2,3,Infra & Cloud,Y,Occasionnel,0,2
411,549,60,F,19566,Marié(e),Consulting,Senior Manager,5,80,33,29,8,1,3,5,1,4,1,3,Non,11 %,Non,0,5,1,7,3,Infra & Cloud,Y,Occasionnel,11,10
412,550,46,F,4810,Divorcé(e),Consulting,Tech Lead,2,80,19,10,7,3,3,2,3,3,2,3,Non,14 %,Non,1,5,1,18,3,Transformation Digitale,Y,Occasionnel,0,8
413,551,42,F,4523,Marié(e),Consulting,Manager,0,80,7,6,5,4,2,2,4,4,4,3,Non,11 %,Non,3,4,1,28,4,Entrepreunariat,Y,Frequent,0,4
414,554,24,F,3202,Célibataire,Commercial,Représentant Commercial,1,80,6,5,3,1,3,1,2,2,3,3,Oui,16 %,Oui,0,4,1,1,1,Entrepreunariat,Y,Occasionnel,1,4
415,555,34,F,2351,Divorcé(e),Commercial,Représentant Commercial,0,80,3,2,2,4,1,1,3,4,2,3,Non,16 %,Oui,1,3,1,6,2,Marketing,Y,Frequent,1,0
416,556,38,M,1702,Marié(e),Consulting,Consultant,1,80,1,1,0,4,3,1,4,3,3,4,Oui,23 %,Non,1,3,1,2,2,Infra & Cloud,Y,Frequent,0,0
417,558,40,F,18041,Marié(e),Commercial,Senior Manager,0,80,21,20,15,3,3,5,3,4,3,3,Non,14 %,Non,0,2,1,2,4,Infra & Cloud,Y,Occasionnel,1,12
418,560,26,F,2886,Divorcé(e),Consulting,Assistant de Direction,1,80,3,3,2,1,3,1,4,2,1,4,Non,22 %,Non,2,3,1,23,3,Infra & Cloud,Y,Occasionnel,0,2
419,562,30,M,2097,Marié(e),Consulting,Consultant,4,80,9,5,3,3,3,1,4,3,1,3,Non,15 %,Non,1,3,1,3,3,Infra & Cloud,Y,Aucun,1,4
420,564,29,M,11935,Marié(e),Consulting,Directeur Technique,1,80,10,10,2,2,2,3,3,3,3,3,Non,18 %,Non,0,2,1,3,4,Transformation Digitale,Y,Occasionnel,0,7
421,565,29,F,2546,Marié(e),Consulting,Assistant de Direction,5,80,6,2,2,3,2,1,2,2,4,3,Non,16 %,Oui,0,2,1,25,5,Entrepreunariat,Y,Occasionnel,1,1
422,566,19,M,2564,Célibataire,Ressources Humaines,Ressources Humaines,1,80,1,1,0,1,2,1,4,3,4,3,Non,12 %,Oui,0,3,1,2,2,Entrepreunariat,Y,Occasionnel,0,0
423,567,30,F,8412,Marié(e),Commercial,Cadre Commercial,0,80,10,9,8,3,3,3,1,3,3,3,Non,11 %,Non,0,3,1,22,4,Autre,Y,Aucun,7,8
424,568,57,M,14118,Divorcé(e),Commercial,Senior Manager,3,80,32,1,0,1,2,4,4,3,2,3,Non,12 %,Non,1,3,1,29,3,Marketing,Y,Occasionnel,0,0
425,569,50,M,17046,Marié(e),Consulting,Senior Manager,0,80,28,27,10,2,2,4,3,2,3,3,Non,15 %,Non,1,2,1,29,4,Infra & Cloud,Y,Occasionnel,15,7
426,571,30,F,2564,Célibataire,Consulting,Consultant,0,80,12,11,7,3,3,1,4,3,2,3,Non,14 %,Non,0,2,1,2,3,Transformation Digitale,Y,Aucun,6,7
427,573,60,F,10266,Marié(e),Commercial,Cadre Commercial,4,80,22,18,13,3,2,3,1,4,4,3,Non,19 %,Non,0,5,1,28,3,Marketing,Y,Frequent,13,11
428,574,47,F,5070,Divorcé(e),Consulting,Tech Lead,5,80,20,5,0,1,3,2,4,3,3,3,Non,13 %,Non,3,2,1,2,2,Transformation Digitale,Y,Occasionnel,0,4
429,575,46,M,17861,Marié(e),Consulting,Directeur Technique,6,80,26,3,2,1,3,4,3,3,1,3,Non,13 %,Non,0,2,1,2,3,Infra & Cloud,Y,Occasionnel,0,1
430,577,35,M,4230,Célibataire,Consulting,Consultant,0,80,6,5,4,4,1,1,3,3,3,3,Non,15 %,Non,0,2,1,22,3,Infra & Cloud,Y,Occasionnel,4,3
431,578,54,F,3780,Célibataire,Consulting,Consultant,7,80,19,1,0,3,3,2,3,3,3,3,Non,11 %,Non,0,3,1,8,4,Infra & Cloud,Y,Occasionnel,0,0
432,579,34,M,2768,Divorcé(e),Consulting,Assistant de Direction,3,80,14,7,3,4,2,1,3,3,3,3,Non,12 %,Non,1,3,1,2,4,Infra & Cloud,Y,Occasionnel,5,7
433,580,46,F,9071,Marié(e),Commercial,Cadre Commercial,2,80,15,3,2,3,2,3,4,3,3,3,Oui,19 %,Non,1,3,1,10,3,Marketing,Y,Occasionnel,1,2
434,581,31,M,10648,Divorcé(e),Consulting,Tech Lead,1,80,13,13,8,3,3,3,2,4,4,4,Non,25 %,Non,1,6,1,9,1,Infra & Cloud,Y,Occasionnel,0,8
435,582,33,M,13610,Marié(e),Consulting,Senior Manager,7,80,15,7,6,2,3,3,3,4,4,3,Oui,12 %,Oui,0,2,1,15,1,Transformation Digitale,Y,Occasionnel,7,7
436,584,33,M,3408,Divorcé(e),Consulting,Consultant,7,80,8,4,3,1,1,1,4,1,3,3,Non,13 %,Oui,3,2,1,10,1,Transformation Digitale,Y,Occasionnel,1,3
437,585,30,M,2983,Célibataire,Commercial,Représentant Commercial,0,80,4,3,2,4,3,1,2,1,3,3,Non,14 %,Non,0,3,1,7,1,Marketing,Y,Occasionnel,1,2
438,586,35,M,7632,Marié(e),Consulting,Manager,4,80,10,8,7,4,3,3,3,3,3,3,Oui,12 %,Non,0,2,1,16,3,Infra & Cloud,Y,Occasionnel,0,0
439,587,31,M,9824,Marié(e),Consulting,Manager,3,80,12,1,0,1,3,3,3,1,3,3,Non,12 %,Oui,0,2,1,20,3,Infra & Cloud,Y,Frequent,0,0
440,590,34,F,9950,Divorcé(e),Ressources Humaines,Ressources Humaines,9,80,11,3,2,2,3,3,1,3,3,3,Oui,15 %,Oui,3,2,1,23,3,Ressources Humaines,Y,Frequent,0,2
441,591,42,M,2093,Marié(e),Consulting,Consultant,4,80,8,2,2,2,3,1,3,4,3,3,Non,17 %,Non,1,4,1,5,2,Autre,Y,Frequent,2,0
442,592,36,M,9980,Célibataire,Commercial,Cadre Commercial,1,80,10,10,3,2,3,3,4,4,2,3,Non,14 %,Non,0,3,1,10,4,Transformation Digitale,Y,Aucun,9,7
443,593,22,M,3894,Célibataire,Consulting,Consultant,5,80,4,2,2,3,2,1,3,3,3,3,Non,16 %,Oui,0,3,1,4,1,Entrepreunariat,Y,Frequent,1,2
444,595,48,F,4051,Marié(e),Commercial,Cadre Commercial,2,80,14,9,7,2,3,2,4,1,3,3,Non,14 %,Non,1,2,1,2,5,Marketing,Y,Occasionnel,6,7
445,597,55,F,16835,Célibataire,Commercial,Senior Manager,3,80,37,10,9,1,3,4,2,4,3,4,Non,23 %,Non,0,2,1,18,5,Infra & Cloud,Y,Occasionnel,7,7
446,599,41,M,6230,Célibataire,Commercial,Cadre Commercial,7,80,16,14,3,4,3,2,4,4,3,3,Non,14 %,Non,0,3,1,10,2,Infra & Cloud,Y,Aucun,1,10
447,600,35,M,4717,Marié(e),Commercial,Cadre Commercial,9,80,15,11,9,2,3,2,3,3,3,3,Non,11 %,Non,0,2,1,1,3,Marketing,Y,Occasionnel,6,9
448,601,40,F,13237,Célibataire,Consulting,Tech Lead,7,80,22,20,6,2,3,4,3,3,3,3,Non,15 %,Non,0,3,1,6,3,Infra & Cloud,Y,Occasionnel,5,13
449,602,39,F,3755,Marié(e),Consulting,Consultant,1,80,8,8,3,3,3,1,3,1,3,3,Non,11 %,Non,1,3,1,8,1,Infra & Cloud,Y,Frequent,0,7
450,604,31,M,6582,Célibataire,Commercial,Cadre Commercial,4,80,10,6,5,2,3,2,4,3,4,3,Oui,13 %,Non,0,2,1,2,1,Infra & Cloud,Y,Occasionnel,0,5
451,605,42,M,7406,Marié(e),Consulting,Tech Lead,1,80,10,10,9,4,3,3,1,4,2,4,Oui,21 %,Non,1,5,1,24,3,Transformation Digitale,Y,Occasionnel,5,8
452,606,45,M,4805,Marié(e),Commercial,Cadre Commercial,0,80,9,8,7,4,3,2,2,2,4,3,Non,19 %,Non,1,3,1,2,3,Autre,Y,Occasionnel,3,7
453,608,26,F,2741,Divorcé(e),Ressources Humaines,Ressources Humaines,0,80,8,7,7,2,3,1,3,2,2,3,Oui,11 %,Oui,1,2,1,17,4,Infra & Cloud,Y,Frequent,1,0
454,611,29,M,4262,Divorcé(e),Consulting,Tech Lead,4,80,8,3,2,4,3,2,4,2,4,3,Non,12 %,Non,2,2,1,19,3,Entrepreunariat,Y,Occasionnel,1,2
455,612,33,F,16184,Divorcé(e),Consulting,Directeur Technique,4,80,10,6,1,1,4,4,3,3,3,3,Non,19 %,Non,1,2,1,1,5,Transformation Digitale,Y,Occasionnel,0,5
456,613,31,M,11557,Divorcé(e),Commercial,Senior Manager,9,80,10,5,4,3,2,3,4,3,2,4,Non,21 %,Non,1,3,1,7,3,Infra & Cloud,Y,Occasionnel,0,1
457,614,18,M,1878,Célibataire,Commercial,Représentant Commercial,1,80,0,0,0,2,3,1,2,4,3,3,Oui,14 %,Oui,0,3,1,5,3,Marketing,Y,Frequent,0,0
458,615,40,M,10932,Divorcé(e),Commercial,Cadre Commercial,3,80,20,1,0,3,1,3,1,3,3,3,Non,15 %,Non,1,2,1,28,3,Autre,Y,Aucun,0,1
459,616,41,F,6811,Célibataire,Consulting,Manager,2,80,10,8,7,1,2,2,3,1,3,3,Oui,17 %,Non,0,3,1,2,4,Autre,Y,Aucun,0,7
460,618,26,M,4306,Divorcé(e),Commercial,Cadre Commercial,5,80,8,0,0,1,3,2,3,1,3,3,Non,12 %,Non,2,5,1,29,2,Transformation Digitale,Y,Occasionnel,0,0
461,620,35,F,4859,Célibataire,Commercial,Cadre Commercial,1,80,5,5,4,1,3,2,3,4,3,3,Non,16 %,Non,0,3,1,1,3,Transformation Digitale,Y,Occasionnel,0,3
462,621,34,M,5337,Célibataire,Commercial,Cadre Commercial,1,80,10,10,7,4,4,2,4,4,3,3,Non,12 %,Non,0,3,1,21,4,Infra & Cloud,Y,Occasionnel,5,7
463,622,26,M,2340,Célibataire,Consulting,Consultant,1,80,1,1,0,3,1,1,4,2,1,3,Oui,18 %,Oui,0,3,1,24,3,Entrepreunariat,Y,Occasionnel,0,0
464,623,37,F,7491,Célibataire,Consulting,Tech Lead,4,80,12,6,5,2,3,3,4,4,4,3,Non,17 %,Non,0,3,1,1,3,Entrepreunariat,Y,Occasionnel,1,2
465,624,46,F,10527,Marié(e),Consulting,Manager,5,80,28,2,2,1,3,3,3,4,2,3,Non,11 %,Non,0,3,1,18,1,Transformation Digitale,Y,Frequent,1,2
466,625,41,F,16595,Marié(e),Commercial,Senior Manager,7,80,22,18,16,2,3,4,1,2,3,3,Non,16 %,Non,1,2,1,2,5,Infra & Cloud,Y,Occasionnel,11,8
467,626,37,M,8834,Divorcé(e),Commercial,Cadre Commercial,1,80,9,9,5,1,3,3,2,4,3,3,Non,13 %,Non,1,6,1,9,4,Transformation Digitale,Y,Aucun,7,7
468,630,52,M,5577,Divorcé(e),Consulting,Assistant de Direction,3,80,18,10,9,4,3,2,1,2,3,3,Oui,12 %,Non,2,3,1,6,2,Entrepreunariat,Y,Occasionnel,6,9
469,631,32,M,4707,Marié(e),Commercial,Cadre Commercial,8,80,6,4,2,4,4,2,3,4,3,3,Non,12 %,Oui,0,2,1,11,4,Autre,Y,Aucun,1,2
470,632,24,M,2400,Marié(e),Commercial,Représentant Commercial,0,80,3,2,2,4,3,1,4,3,3,3,Non,13 %,Non,2,3,1,24,3,Transformation Digitale,Y,Frequent,2,1
471,634,38,F,9824,Marié(e),Consulting,Manager,3,80,18,1,0,3,3,2,3,3,3,3,Non,19 %,Non,1,4,1,10,3,Transformation Digitale,Y,Occasionnel,0,0
472,635,37,F,6447,Marié(e),Consulting,Tech Lead,6,80,8,6,5,2,3,2,2,2,2,3,Non,12 %,Non,1,2,1,1,4,Infra & Cloud,Y,Occasionnel,4,3
473,638,49,M,19502,Divorcé(e),Consulting,Directeur Technique,1,80,31,31,9,4,2,5,3,3,3,3,Oui,17 %,Non,1,5,1,18,4,Infra & Cloud,Y,Occasionnel,0,9
474,639,24,M,2725,Marié(e),Consulting,Assistant de Direction,1,80,6,6,5,2,4,1,4,2,3,3,Oui,11 %,Non,2,3,1,23,3,Transformation Digitale,Y,Occasionnel,1,4
475,641,26,M,6272,Marié(e),Commercial,Cadre Commercial,1,80,6,5,3,1,3,2,2,4,4,4,Non,20 %,Non,2,5,1,28,2,Marketing,Y,Occasionnel,1,4
476,643,24,M,2127,Marié(e),Consulting,Consultant,1,80,1,1,0,4,2,1,2,4,3,4,Non,21 %,Non,1,2,1,17,2,Autre,Y,Occasionnel,0,0
477,644,50,M,18200,Marié(e),Ressources Humaines,Senior Manager,1,80,32,32,5,1,3,5,2,3,3,3,Non,11 %,Non,1,2,1,3,3,Transformation Digitale,Y,Frequent,10,7
478,645,25,M,2096,Marié(e),Commercial,Représentant Commercial,1,80,7,7,4,2,3,1,3,3,3,3,Non,11 %,Non,0,1,1,13,1,Transformation Digitale,Y,Occasionnel,0,6
479,647,24,F,2886,Marié(e),Consulting,Consultant,1,80,6,6,3,1,3,1,3,4,3,3,Oui,16 %,Oui,1,4,1,7,3,Infra & Cloud,Y,Frequent,1,2
